source,target,weight
episode,candy,1
candy,kingdom,4
kingdom,jake,2
jake,lady,7
lady,rainicorn,4
rainicorn,jake,1
lady,level,1
level,lady,1
rainicorn,나,1
나,잡아봐봐~,1
잡아봐봐~,finn,1
finn,princess,24
princess,bubblegum,61
bubblegum,cemetery,1
cemetery,table,1
table,chemicals,1
chemicals,princess,1
bubblegum,drops,1
drops,diarrhea,1
diarrhea,cloud,1
cloud,skull,1
skull,omen,1
omen,finn,1
bubblegum,oooo,1
oooo,finn,1
bubblegum,life,2
life,worms,1
worms,princess,1
bubblegum,decorpsinator,1
decorpsinator,serum,5
serum,candy,2
candy,people,13
people,finn,1
finn,tarzan,1
tarzan,yell,1
yell,hands,1
hands,chest,1
chest,princess,1
bubblegum,platter,1
platter,guy,1
guy,finn,2
finn,platter,1
platter,lid,1
lid,candy,1
candy,person,4
person,corpse,1
corpse,finn,1
finn,old,1
old,mr.,2
mr.,cream,7
cream,puff,7
puff,princess,2
bubblegum,giggles,2
giggles,date,1
date,serum,1
serum,mr.,1
puff,corpse,1
corpse,overflow,1
overflow,serum,1
serum,finn,1
bubblegum,work,1
work,zombie,1
zombie,mr.,4
puff,moans,1
moans,finn,1
finn,algebraic,1
algebraic,princess,1
bubblegum,wait,1
wait,zombie,1
puff,sugar,1
sugar,squirts,1
squirts,eyes,1
eyes,mouth,1
mouth,finn,1
bubblegum,ew,1
ew,zombie,1
puff,test,1
test,tube,2
tube,test,1
tube,cemetery,1
cemetery,zombie,1
zombie,candy,2
people,graves,1
graves,finn,1
finn,decorpsinator,1
serum,princess,1
life,decorpsinator,1
serum,head,1
head,candy,1
person,love,1
love,heart,2
heart,zombie,1
zombie,love,1
heart,princess,1
bubblegum,rah,1
rah,sugar,1
sugar,finn,2
finn,mister,1
mister,princess,1
bubblegum,candy,4
kingdom,finn,3
people,sugar,1
sugar,dong,1
dong,zombie,1
bubblegum,gimme,1
gimme,sugar,1
sugar,baby,1
baby,finn,1
giggles,finn,1
finn,kingdom,1
kingdom,cemetery,1
cemetery,finn,1
finn,kicks,1
kicks,zombie,1
zombie,life,1
life,princess,1
bubblegum,top,1
top,castle,1
castle,bell,1
bell,princess,1
bubblegum,citizens,2
citizens,candy,2
kingdom,report,1
report,palace,1
palace,candy,1
people,confusion,1
confusion,palace,1
palace,jake,1
lady,palace,1
palace,princess,1
bubblegum,zombies,2
zombies,cemetery,1
cemetery,princess,1
bubblegum,hurry,1
hurry,citizens,1
citizens,finn,1
finn,alright,3
alright,princess,1
princess,pushing,1
pushing,jake,1
jake,dude,3
dude,finn,2
princess,tree,1
tree,trunks,2
trunks,buns,1
buns,girl,1
girl,tree,1
trunks,cross,1
cross,buns,1
buns,news,1
news,princess,1
bubblegum,finn,14
finn,door,3
door,finn,3
finn,thanks,4
thanks,manfried,1
manfried,princess,1
candy,foyer,1
foyer,announcement,1
announcement,tonight,1
tonight,party,1
party,finn,2
finn,crowd,1
crowd,cheers,1
cheers,finn,1
bubblegum,mouth,1
mouth,princess,1
finn,voice,2
voice,princess,1
princess,undead--,1
undead--,princess,1
bubblegum,carries,1
carries,finn,1
finn,lab,1
lab,jake,1
jake,whooo,1
whooo,lab,1
lab,princess,1
finn,candy,4
people,zombies,3
zombies,finn,8
finn,wha,1
wha,princess,1
bubblegum,scene,1
scene,cemetery,1
cemetery,starchy,1
starchy,shovel,1
shovel,starchy,1
starchy,princess,1
princess,starchy,1
starchy,gravedigger,1
gravedigger,corpse,1
corpse,shovel,1
shovel,princess,1
princess,mausoleum,1
mausoleum,back,1
back,defenses,1
defenses,starchy,1
starchy,candy,1
candy,zombie,1
zombie,mausoleum,1
mausoleum,starchy,1
starchy,gasp,1
gasp,kaboom,1
kaboom,flash,1
flash,light,1
light,castle,1
castle,finn,1
people,princess,1
zombies,royal,1
royal,promise,8
promise,zombies,2
finn,royal,4
promise,finn,2
finn,kneels,1
kneels,royal,1
promise,princess,1
bubblegum,lab,2
lab,equation,1
equation,decorpsinator,1
candy,folk,1
folk,finn,1
finn,highness,1
highness,princess,1
finn,wait,3
wait,enters,1
enters,jake,1
jake,finn,19
finn,outbreak,1
outbreak,zom--,1
zom--,mouth,1
mouth,jake,1
jake,chuckles,1
chuckles,finn,1
finn,uhh,4
uhh,buddy,1
buddy,laughs,1
laughs,foyer,1
foyer,jake,1
dude,bubblegum,1
finn,ahha,1
ahha,way,1
way,jake,1
jake,whoa,3
whoa,guys,1
guys,sort,1
sort,prank,1
prank,finn,1
finn,party,2
party,goers,1
goers,truth,1
truth,dare,1
dare,jake,1
jake,hmm,1
hmm,finn,2
finn,ok,1
ok,chocoberry,1
chocoberry,truth,1
truth,saucy,1
saucy,dare,1
dare,chocoberry,2
chocoberry,mr.,1
mr.,cupcake,5
cupcake,truth,1
truth,mr.,2
cupcake,dare,1
chocoberry,wrapper,1
wrapper,oooh,1
oooh,jake,1
jake,shoulders,1
shoulders,finn,1
finn,man,3
man,bro,1
bro,bros,1
bros,time,1
time,bubblegum,1
finn,yep,1
yep,sound,1
sound,mr.,1
cupcake,wrapper,1
wrapper,peppermint,1
peppermint,butler,1
butler,chocolate,1
chocolate,mr.,1
cupcake,jake,1
jake,truth,3
truth,jake,1
cupcake,chocolate,1
chocolate,fudge,2
fudge,jake,1
jake,chocolate,1
fudge,dog,1
dog,hmmmmm,1
hmmmmm,finn,1
finn,truth,1
truth,finn,2
finn,dare,1
dare,haha,1
haha,jake,1
truth,mind,1
mind,bubblegum,1
bubblegum,oooh,1
oooh,finn,1
finn,umm,2
umm,ahh,1
ahh,truth,1
bubblegum,face,2
face,jake,2
jake,hallucination,1
hallucination,princess,1
finn,ahhh,1
ahhh,truth,1
truth,dodge,1
dodge,socks,3
socks,finn,1
finn,sock,2
sock,jake,1
jake,princess,2
jake,dodge,1
socks,questions,1
questions,sniffs,1
sniffs,socks,1
socks,old,1
puff,finn,1
sock,dodge,1
socks,idea,1
idea,jake,1
jake,cannonball,1
cannonball,tonight,1
tonight,finn,1
finn,window,2
window,jake,2
jake,zombies,1
finn,goodness,1
goodness,princess,1
princess,equation,1
equation,zombies,1
party,fun,1
fun,second,1
second,life,1
life,promise,1
promise,zombie,1
zombie,window,1
jake,zombie,1
zombie,sugar,1
finn,shutters,1
shutters,jake,1
umm,time,1
time,jake,2
jake,time,3
time,finn,2
finn,time,1
time,seven,1
seven,minutes,1
minutes,heaven,1
heaven,jake,1
finn,lady,1
rainicorn,closet,1
closet,jake,2
lady,?,1
?,나,1
나,웃겨,1
웃겨,정말,1
정말,그래,1
그래,좋아,1
좋아,.,1
.,하자,1
하자,jake,1
jake,closet,1
closet,door,1
door,jake,1
lady,minutes,1
minutes,beans,1
beans,finn,1
finn,way,1
way,heaven,1
heaven,finn,1
window,horde,1
horde,zombies,1
zombies,sugar,1
sugar,door,1
door,chet,1
chet,umm,1
umm,finn,1
people,banging,1
banging,chet,1
chet,finn,1
finn,chet,1
chet,noise,1
noise,radio,1
radio,party,1
party,lights,1
lights,chet,1
chet,laughs,1
laughs,finn,2
finn,zombie,1
zombie,door,1
door,table,2
table,chocoberry,1
chocoberry,game,1
game,finn,1
table,finn,1
uhh,blockado,1
blockado,haha,1
haha,game,1
game,barricades,1
barricades,entrances,1
entrances,windows,1
windows,candy,1
people,doors,1
doors,windows,1
windows,zombies,1
alright,solution,1
solution,finn,1
finn,manfried,3
manfried,finn,2
manfried,piñata,1
piñata,appearance,1
appearance,idea,1
idea,stick,1
stick,game,1
game,piñatas,1
piñatas,manfried,1
manfried,thank,1
thank,goodness,1
goodness,finn,1
finn,strips,1
strips,taffy,1
taffy,girl,2
girl,finn,3
finn,blindfolds,1
blindfolds,whispering,1
whispering,thanks,1
thanks,taffy,1
finn,middle,1
middle,candy,1
people,sticks,1
sticks,finn,1
alright,piñatas,1
piñatas,zombies,1
zombies,barricades,1
barricades,piñatas,1
piñatas,finn,1
finn,guys,3
guys,fire,1
fire,chocoberry,1
chocoberry,zombie,1
candy,chocoberry,1
chocoberry,candy,1
candy,zombies,2
zombies,candy,3
people,candy,1
candy,finn,1
finn,plan,3
plan,jake,1
lady,closet,1
jake,whew,1
whew,lady,1
lady,안녕,1
안녕,jake,1
jake,minutes,1
minutes,grabs,1
grabs,doughnut,1
doughnut,zombie,1
zombie,corpses,1
corpses,finn,1
finn,nuts,1
nuts,finn,1
finn,zombies,2
zombies,princess,1
bubblegum,jake,1
finn,room,1
room,finn,1
finn,jake,26
bubblegum,enters,1
enters,freezing,1
freezing,princess,1
people,deal,1
deal,princess,1
royal,promises,1
promises,room,1
room,princess,1
bubblegum,guardians,1
guardians,royal,1
promise,hand,1
hand,bursts,1
bursts,ceiling,1
ceiling,grabs,1
grabs,finn,1
bubblegum,whoa,1
whoa,!,1
!,guardian,1
guardian,finn,4
finn,human,1
human,royal,1
promise,penalty,1
penalty,trial,1
trial,fire,1
fire,guardian,1
guardian,fire,1
fire,finn,1
bubblegum,friend,1
friend,option,1
option,guardian,1
guardian,promise,1
promise,breaker,1
breaker,trial,1
trial,guardian,1
guardian,math,1
math,questions,1
questions,finn,1
finn,mathematical,1
mathematical,princess,1
finn,math,1
math,finn,1
finn,awww,1
awww,guardian,1
finn,front,1
front,guardian,1
guardian,hologram,1
hologram,math,1
math,equation,1
equation,finn,1
uhh,guardian,1
guardian,equation,1
equation,one,1
one,guardian,1
uhh,guardians,1
guardians,guardian,2
guardian,guardians,1
guardians,heads,1
heads,time,1
time,rewinds,1
rewinds,night,1
night,day,1
day,guardian,1
guardian,head,1
head,bubbles,1
bubbles,candy,1
bubblegum,promise,1
promise,gumball,1
gumball,guardians,2
bubblegum,princess,1
lab,finn,1
finn,slamacow,1
slamacow,tops,1
tops,math,1
math,four,1
four,princess,1
bubblegum,answer,1
answer,finn,1
bubblegum,figure,1
figure,decorpsinator,1
serum,foyer,1
foyer,princess,1
bubblegum,serum,2
serum,zombie,1
zombie,golly,1
golly,finn,1
serum,zombies,1
finn,woohoo,1
woohoo,jake,1
rainicorn,진짜로,1
진짜로,finn,1
person,uncle,1
uncle,chewy,1
chewy,candy,1
person,grandma,1
grandma,ice,1
ice,cream,1
cream,lady,1
lady,relative,1
relative,jake,1
jake,starchy,1
starchy,mornin,1
mornin,jake,1
man,royal,1
promise,secret,1
secret,finn,2
bubblegum,consequences,1
consequences,promises,1
promises,finn,2
zombies,parties,1
parties,gumball,1
guardians,princess,1
finn,death,1
death,princess,1
bubblegum,promises,1
princess,finn,14
finn,starchy,3
starchy,gnawing,1
gnawing,leg,1
leg,finn,1
starchy,zombie,1
zombie,starchy,1
starchy,flesh,1
flesh,finn,1
starchy,finn,1
finn,farts,1
farts,episodes,1
episodes,episode,1
episode,princess,1
bubblegum,mallow,1
mallow,tea,2
tea,ceremony,2
ceremony,finn,1
jake,lumpy,3
lumpy,space,76
space,princess,62
princess,hot,3
hot,dog,4
dog,princess,4
finn,whoop,1
whoop,huh,1
huh,jake,3
jake,whoop,1
whoop,lumpy,1
princess,whoopiiieee,1
whoopiiieee,princess,1
bubblegum,cheers,1
cheers,lumpy,1
princess,cheers,1
cheers,jake,1
princess,tea,2
tea,party,1
party,way,1
way,thanks,1
thanks,invite,1
invite,princess,1
finn,mallow,1
ceremony,years,1
years,finn,1
tea,splashes,1
splashes,face,1
face,bounce,1
bounce,ground,1
ground,unh,1
unh,tea,1
tea,partying,1
partying,jake,1
jake,ground,1
ground,oof,1
oof,lumpy,2
princess,way,1
way,finn,1
finn,lumpy,12
princess,faker,1
faker,lumpy,1
princess,huh,1
huh,teeth,1
teeth,jake,1
jake,leg,1
leg,jake,3
jake,aaaaagh,1
aaaaagh,lumpy,1
princess,muffled,1
muffled,leg,1
finn,dude,1
dude,leg,1
jake,nothin',1
nothin',bump,1
bump,lumpy,1
princess,nah,1
nah,bump,1
bump,stage,1
stage,lumps,1
lumps,finn,2
princess,lumpy,4
space,guy,1
guy,account,1
account,bite,1
bite,y'know,1
y'know,werewolf,1
werewolf,rules,1
rules,werewolf,1
werewolf,ar,1
ar,rawr,1
rawr,finn,1
jake,outta,1
outta,arm,1
arm,wha,1
wha,finn,2
finn,calm,1
calm,lumpiness,1
lumpiness,outta,1
outta,ya,1
ya,teacup,1
teacup,ground,1
ground,shatters,1
shatters,princess,1
bubblegum,intervention,1
intervention,antidote,1
antidote,lumps,1
lumps,lumpy,1
princess,antidote,2
antidote,way,1
way,lumpy,1
space,jake,1
jake,sunset,2
sunset,princess,1
bubblegum,antidote,1
antidote,sunset,1
sunset,lumpy,1
finn,lsp,3
lsp,lumpy,5
space,lumpy,2
bubblegum,intestines,1
intestines,tea,1
tea,lumpy,1
princess,secret,1
princess,portal,1
portal,frog,1
frog,mushroom,2
mushroom,frog,1
mushroom,ribbit,1
ribbit,frog,1
frog,password,1
password,lumpy,1
princess,whatevers2009,1
whatevers2009,frog,1
frog,day,1
day,princess,1
princess,father,1
father,lumpy,1
space,chest,1
chest,non,1
non,-,1
-,lumpers,1
lumpers,finn,1
princess,frog,1
frog,tongue,1
tongue,mouth,1
mouth,lumpy,1
space,scene,1
scene,lumpy,1
space,finn,1
finn,cloud,1
cloud,lsp,1
lsp,jake,2
finn,aaaah,1
aaaah,whoa,1
whoa,lumpy,1
space,antidote,1
antidote,lumpy,3
princess,house,1
house,way,1
way,house,1
house,jake,1
jake,part,1
part,antidote,1
princess,makeout,1
makeout,point,6
point,finn,2
finn,camera,1
camera,makeout,1
point,abyss,1
abyss,time,1
time,aww,1
aww,mile,1
mile,fall,1
fall,space,1
princess,car,2
car,world,1
world,lumpy,1
lumpy,abyss,1
abyss,lumpy,1
space,king,2
king,daughter,1
daughter,people,1
people,domain,1
domain,lumpy,1
princess,dad,1
dad,yell,1
yell,lumpy,1
space,queen,1
queen,lumpy,1
princess,lump,1
lump,off,1
off,mom,1
mom,gibberish,1
gibberish,garbles,1
garbles,glob,1
glob,finn,2
finn,what,1
what,finn,1
finn,vroom,1
vroom,lumpy,1
princess,parents,1
parents,car,1
car,lumpy,2
king,mother,1
mother,time,1
time,daughter,1
daughter,car,1
car,house,1
house,door,1
door,lumpy,1
princess,shucks,1
shucks,finn,1
finn,parents,1
parents,idiots,1
idiots,finn,1
finn,car,1
princess,friend,1
friend,melissa,1
melissa,car,3
car,ex,1
ex,-,1
-,boyfriend,1
boyfriend,brad,1
brad,finn,1
princess,hmm,2
hmm,cellphone,1
cellphone,lsp,2
lsp,phone,1
phone,call,1
call,bff,1
bff,melissa,1
melissa,phone,1
phone,rings,1
rings,melissa,1
melissa,lumpy,3
princess,melissa,3
melissa,finn,3
finn,melissa,4
melissa,day,1
day,lumpy,1
melissa,friends,1
friends,melissa,1
melissa,tonight,1
tonight,promcoming,2
promcoming,dance,2
dance,lumpy,2
princess,glob,1
princess,tonight,1
dance,melissa,1
melissa,excitement,1
excitement,finn,1
lsp,time,1
time,ride,1
ride,lsp,1
princess,oh—[finn,1
oh—[finn,cellphone,1
lsp,couple,1
couple,times,1
times,phone,1
phone,wha,1
princess,phone,2
phone,finn,2
finn,makeout,2
point,boys,1
boys,melissa,1
melissa,lsp,1
lsp,sec,1
sec,finn,1
finn,biyah,1
biyah,lumpy,1
hmm,phone,1
voice,jake,2
jake,lumpiness,1
lumpiness,jake,1
jake,willpower,1
willpower,part,1
part,head,1
head,forces,1
forces,body,1
body,lumpy,1
phone,melissa,1
car,melissa,1
finn,ugh,1
ugh,okay,1
okay,melissa,1
melissa,sxy,1
sxy,lmp,1
lmp,liscense,1
liscense,plate,1
plate,music,1
music,jake,1
jake,aw,1
aw,finn,1
finn,music,1
music,ducks,1
ducks,accent,1
accent,song,1
song,tp,1
tp,shandala,1
shandala,house,1
house,voice,1
voice,finn,1
finn,lumps,1
jake,tree,1
tree,jake,1
whoa,jake,1
car,go,1
go,faster,1
faster,melissa,1
princess,minutes,1
minutes,finn,1
point,melissa,1
melissa,brad,1
brad,house,1
house,ride,1
ride,makeout,1
melissa,boyfriend,1
boyfriend,finn,1
time,lumpy,1
princess,cheese,1
cheese,fries,1
fries,brad,1
brad,lot,1
lot,tension,1
tension,ride,1
ride,brad,1
brad,melissa,1
melissa,braaaaad,1
braaaaad,giggles,1
giggles,brad,1
brad,lsp,1
princess,scooch,1
scooch,finn,1
finn,back,1
back,scene,1
scene,makeout,1
point,lumpy,2
car,finn,1
guys,antidote,1
antidote,posers,1
posers,finn,1
princess,hurry,1
hurry,antidote,1
antidote,outta,1
outta,finn,2
thanks,lsp,1
princess,buuuumps,1
buuuumps,jake,1
jake,...,1
...,bumps,1
bumps,finn,1
finn,bumps,1
bumps,jake,1
jake,skin,1
skin,jake,1
jake,man,1
man,lumpy,1
space,people,1
people,glasses,1
glasses,monty,1
monty,lenny,1
lenny,finn,1
guys,lookin,1
lookin,glasses,1
glasses,finn,2
finn,center,1
center,monty,1
monty,finn,1
finn,friend,2
friend,antidote,1
antidote,lumpiness,1
lumpiness,lenny,1
lenny,chyah,1
chyah,lumpiness,1
lumpiness,suuucks,1
suuucks,monty,1
monty,time,1
time,sphere,1
sphere,hog,1
hog,lenny,1
lenny,monty,1
monty,sphere,1
sphere,monty,1
monty,turn,1
turn,lenny,1
lenny,sphere,2
sphere,finn,4
finn,antidote,1
antidote,orb,1
orb,lenny,2
lenny,orb,1
orb,antidote,1
antidote,bruh,1
bruh,finn,1
friend,lenny,1
lenny,tosses,1
tosses,finn,3
finn,sphere,2
finn,hammacow,1
hammacow,thanks,1
thanks,fellas,1
fellas,lumpy,1
princess,enters,1
enters,lumpy,1
princess,heads,1
heads,orb,1
wait,lenny,1
lenny,friend,1
friend,yours,1
yours,lumpy,1
antidote,poser,1
poser,monty,1
monty,sorry,1
sorry,kid,1
kid,lenny,1
lenny,glasses,2
glasses,minds,1
minds,finn,1
finn,things,1
things,lumpy,1
thanks,lot,1
lot,antidote,1
princess,lot,1
lot,finn,1
jake,gon,1
gon,fault,1
fault,lumpy,1
princess,voice,1
voice,things,1
things,friend,1
friend,ones,1
ones,lumpy,1
lumpy,jake,1
jake,guy,2
guy,back,1
back,lumpy,1
space,person,3
person,yah,2
yah,back,1
back,guy,1
sunset,ground,1
ground,kill,1
kill,you,1
you,lumpy,1
lumpy,spaaaaaace,1
spaaaaaace,monty,1
monty,jam,1
jam,man,1
man,finn,1
finn,huh,4
huh,guys,1
guys,monty,1
monty,wail,1
wail,fury,1
fury,finn,1
thanks,monty,1
monty,respect,1
respect,tosses,1
sphere,girl,1
finn,girl,1
girl,time,1
jake,guys,1
guys,promcoming,1
promcoming,monty,1
monty,promcoming,1
promcoming,place,1
place,land,1
land,lump,2
lump,finn,1
finn,awesome,1
awesome,wheels,1
wheels,monty,1
monty,nah,1
nah,finn,1
finn,land,1
lump,cliff,1
cliff,monty,1
monty,smoothie,1
smoothie,void,1
void,finn,1
finn,lenny,1
glasses,chance,1
chance,finn,1
finn,respond,1
respond,disbelief,1
disbelief,finn,1
finn,bites,1
bites,lumpification,1
lumpification,process,1
process,lenny,1
lenny,guy,1
guy,!,1
!,finn,1
finn,buddy,3
buddy,jumps,1
jumps,raaaaaagh,1
raaaaaagh,glasses,1
finn,roof,1
roof,promcoming,1
promcoming,finn,1
jake,cool,1
cool,finn,1
jake,sphere,1
sphere,jake,2
jake,no,1
no,finn,1
finn,avail,1
avail,finn,1
jake,slaps,1
slaps,finn,1
jake,friend,1
friend,sphere,1
jake,chyah,1
chyah,smoothie,1
smoothie,poser,1
poser,finn,1
finn,lumpiness,1
lumpiness,lumpy,1
yah,jake,1
jake,talkin,1
talkin,guy,1
guy,ball,1
ball,outta,1
finn,fine,1
fine,jake,1
finn,mine,1
mine,jake,1
jake,that,1
that,ball,1
ball,finn,1
jake,bumps,1
bumps,bi,1
bi,sphere,1
buddy,finn,2
finn,oof,1
person,jake,1
man,butt,1
butt,:],1
:],antidote,1
antidote,time,1
time,lsp,1
princess,jake,2
jake,dance,1
dance,finn,1
finn,whaddaya,1
whaddaya,jake,1
jake,voice,2
voice,dancing,1
dancing,episode,1
episode,finn,1
jake,hills,1
hills,office,1
office,chair,1
chair,ice,1
ice,kingdom,3
kingdom,hill,1
hill,speed,1
speed,head,1
head,snow,2
snow,golem,1
golem,cat,1
cat,head,1
head,meows,1
meows,duo,1
duo,air,1
air,chair,1
chair,finn,1
finn,snow,1
snow,jake,2
jake,size,1
size,finn,1
jake,sleds,1
sleds,suckers,1
suckers,gut,1
gut,finn,1
finn,jumps,1
jumps,gut,1
gut,hill,1
hill,iceclops,1
iceclops,head,1
finn,hills,1
hills,finn,1
finn,frozen,1
frozen,jake,1
jake,horde,1
horde,penguins,1
penguins,finn,1
finn,penguins,1
penguins,tunnel,1
tunnel,penguins,2
penguins,jake,1
jake,stomach,1
stomach,end,1
end,tunnel,1
penguins,duo,1
duo,soars,1
soars,air,1
air,finn,1
jake,dog,1
dog,tap,1
tap,midair,1
midair,ground,1
ground,ice,1
ice,king,65
king,snow,1
snow,wheelbarrow,1
wheelbarrow,finn,1
jake,crater,1
crater,ice,2
king,crater,1
finn,aww,1
aww,ice,1
king,ice,8
king,jake,4
jake,ice,6
king,nerd,1
nerd,finn,1
finn,cow,1
cow,ice,1
ice,domain,1
domain,ice,1
ice,world,1
world,law,1
law,trespassing,1
trespassing,jake,1
jake,brother,1
brother,heat,1
heat,finn,1
finn,lava,1
lava,man,1
man,front,1
front,yard,1
yard,soooooooooooo,1
soooooooooooo,jake,1
jake,mmm,1
mmm,hmm,1
wait,jake,1
finn,i,1
i,mean--,1
mean--,ice,1
king,annoyed,1
annoyed,kingdom,1
kingdom,guys,1
guys,land,1
land,rules,1
rules,finn,1
jake,snowman,1
snowman,finn,1
finn,sighs,2
sighs,ice,1
king,c,1
c,cool,1
cool,c,1
c,co,1
co,rise,1
rise,monsters,1
monsters,snow,1
snow,finn,1
jake,magic,1
magic,snow,1
snow,monsters,2
monsters,jake,1
finn,laughs,1
jake,snow,1
monsters,win,1
win,ice,1
king,ooh,1
ooh,guys,1
guys,finn,1
finn,heh,3
heh,jake,2
king,hill,1
hill,castle,1
castle,wheelbarrow,1
wheelbarrow,ice,1
king,groans,1
groans,magic,1
magic,cracks,1
cracks,back,1
back,sandwich,1
sandwich,bag,1
bag,trail,1
trail,mix,2
mix,ick,1
ick,yogurt,1
yogurt,chip,2
chip,yogurt,1
chip,bag,1
bag,tuck,1
tuck,wheelbarrow,1
wheelbarrow,aww,1
aww,man,1
man,ice,1
king,castle,1
castle,ice,1
king,room,3
room,jail,1
jail,cell,2
cell,room,1
room,lumpy,1
princess,emerald,1
emerald,princess,2
princess,ghost,1
ghost,princess,1
princess,slime,3
slime,princess,11
princess,raggedy,1
raggedy,princess,1
princess,wildberry,3
wildberry,princess,9
princess,ice,4
king,ladies,2
ladies,princesses,1
princesses,panic,1
panic,ice,1
king,baby,1
baby,puppy,1
puppy,tosses,1
jake,room,1
room,wall,1
wall,ice,1
ice,wildberry,1
huh,wildberry,1
princess,w,1
w,goin',1
goin',slime,1
princess,prisoners,1
prisoners,finn,1
finn,ice,7
king,finn,9
finn,girls,1
girls,prisoners,1
prisoners,jerk,1
jerk,ice,1
king,princesses,2
princesses,jake,2
king,choice,1
choice,marriage,1
marriage,thing,1
thing,finn,1
king,girls,1
girls,ice,1
ladies,shoots,1
shoots,ice,2
ice,lighting,2
lighting,fingers,1
fingers,zzhp,1
zzhp,princesses,1
princesses,mm,1
mm,hm,1
hm,finn,1
sighs,princesses,1
jake,thing,1
thing,slime,1
princess,yay,1
yay,ice,1
king,grumbles,1
grumbles,finn,1
finn,rad,1
rad,ice,1
king,backpack,1
backpack,binoculars,1
binoculars,toothbrush,1
toothbrush,water,1
water,bottle,1
bottle,rope,1
rope,tone,1
tone,sweater,1
sweater,trail,1
mix,flute,1
flute,finn,1
finn,flute,2
flute,ice,1
king,cell,1
cell,finn,1
flute,jake,1
jake,nuts,1
nuts,lock,1
lock,ogre,1
ogre,heart,1
heart,finn,1
finn,darn,1
darn,ice,1
king,dance,1
dance,ice,2
king,try,1
try,princesses,1
princesses,finn,3
finn,key,1
key,hand,2
hand,hah,1
hah,key,1
hand,ice,1
jake,neck,1
neck,finn,1
jake,frozen,1
frozen,finn,1
finn,arms,1
arms,legs,1
legs,ice,1
king,bars,1
bars,ice,1
king,potty,1
potty,bathroom,1
bathroom,finn,1
jake,buddy,1
buddy,princesses,1
finn,princesses,2
princesses,slime,1
princess,weeks,1
weeks,sports,1
sports,behavior,1
behavior,finn,1
princess,fun,2
fun,ice,1
king,fun,2
fun,night,1
night,story,1
story,baby,1
baby,whatsit,1
whatsit,bottle,1
bottle,prince,1
prince,lumpy,1
princesses,way,1
way,princesses,1
princesses,ice,1
fun,name,1
name,piano,1
piano,tune,1
tune,hums,1
hums,ice,1
king,wildberry,1
princess,piano,1
piano,cell,1
cell,wildberry,1
king,hand,1
hand,bars,1
bars,atta,1
atta,princess,1
princess,hand,1
hand,tune,1
tune,wildberry,1
king,i'll,1
i'll,juice,1
juice,wildberry,1
princess,dear,1
dear,tune,1
tune,ice,1
king,instrument,1
instrument,fun,1
fun,finn,1
finn,growls,1
growls,ice,1
king,drums,2
drums,drum,1
drum,solo,1
solo,key,1
key,music,1
music,princesses,1
plan,details,1
details,mind,1
mind,jake,1
jake,sweet,1
sweet,ice,1
drums,laughs,1
laughs,ice,1
finn,stuff,1
stuff,ice,2
king,idea,1
idea,finn,1
finn,idea,1
idea,ice,1
plan,fun,1
fun,stuff,1
king,jail,1
jail,party,1
party,tar,1
tar,fists,1
fists,care,1
care,jake,1
jake,board,1
board,princesses,1
princesses,agreement,1
agreement,jake,1
jake,plan,1
plan,lumpy,1
princess,plan,1
plan,finn,1
finn,point,1
fun,time,1
time,life,1
life,ice,1
room,board,1
board,game,2
game,ice,1
king,way,1
way,fun,1
fun,tray,1
tray,jail,1
cell,ice,1
finn,fun,1
fun,whoopee,1
whoopee,ice,1
room,jake,2
guy,ice,1
finn,dance,1
princess,party,1
finn,wanna,1
wanna,dance,1
king,lumpy,1
princess,whoo,1
whoo,woohoo,1
woohoo,ice,1
king,board,1
game,opens,1
opens,cell,1
cell,door,1
finn,jump,1
jump,princesses,1
princesses,room,1
king,wait,1
wait,shoots,1
lighting,emerald,1
finn,case,1
case,man,1
man,dude,1
dude,life,1
life,experience,1
experience,jake,1
ice,hot,1
whoa,finn,1
finn,head,1
head,man,1
man,princesses,1
princesses,jail,1
jail,ice,1
king,bah,1
bah,finn,1
finn,chances,1
chances,wives,1
wives,finn,1
finn,beard,1
beard,ohh,1
ohh,beard,1
beard,finn,1
finn,roundhouse,1
roundhouse,wall,1
wall,crown,1
crown,consciousness,1
consciousness,dream,1
dream,ice,1
king,space,1
space,beard,1
beard,ice,1
king,people,1
people,user,1
user,beard,1
beard,sighs,1
sighs,husband,1
husband,girls,1
girls,cosmic,1
cosmic,owl,2
owl,cosmic,1
owl,hoo,1
hoo,sociopath,1
sociopath,ice,1
king,laughs,1
laughs,nerd,1
nerd,consciousness,1
consciousness,penguins,1
penguins,star,1
star,dust,1
dust,laughs,1
laughs,eyes,1
eyes,princesses,1
princesses,ohhh,1
ohhh,ice,1
princesses,back,1
back,slime,1
finn,slime,2
princess,thing,1
thing,choosing,1
choosing,finn,1
princess,ooooh,1
ooooh,finn,1
jake,slime,1
finn,pants,1
pants,time,1
time,princesses,1
princesses,ewww,1
ewww,!,1
!,slime,1
heh,grunts,1
grunts,adventure,1
adventure,time,1
time,logo,1
logo,episode,1
